word,On Time (Early),Overdue (Late),log_ratio
fix,7.031089354532731e-5,1.1043071002408297e-4,0.651321297334942
however,3.183889519033689e-5,4.9920731928695044e-5,0.6488488116554214
basis,2.609020578097051e-5,4.084423521438685e-5,0.6466241465409074
safety,6.809985915710947e-5,1.0589246166692887e-4,0.6368761699893453
addressed,3.5199667460428013e-4,5.445898028584913e-4,0.6296081695253058
original,1.6803861350455583e-5,2.571674069053987e-5,0.6139150215460342
bridge,1.989930949396056e-5,3.0254989047693966e-5,0.6044546922969678
lights,2.073950256148334e-4,3.1313913664363254e-4,0.5944225387232289
updated,4.156744649849539e-5,6.202272754777262e-5,0.5773428466797261
new,0.0037282461854129217,0.005530611997918457,0.5689420049158822
re,1.0745627126738702e-4,1.588386925003933e-4,0.5638127077996219
frustrating,1.547724071752488e-5,2.2691241785770472e-5,0.5519872724028322
stating,1.547724071752488e-5,2.2691241785770472e-5,0.5519872724028322
failing,7.959723797584224e-5,1.1648170783362177e-4,0.5493131381045069
conducted,2.2287226633235826e-4,3.252411322627101e-4,0.5452926198288239
license,3.0070067679762624e-5,4.386973411915625e-5,0.5448978476165128
half,2.2994757637465535e-5,3.328048795246336e-5,0.5333715942354852
pass,3.3607722700911165e-5,4.840798247631034e-5,0.5264521802956948
tested,1.6803861350455583e-5,2.420399123815517e-5,0.5264521802956948
aware,1.0436082312388204e-4,1.4976219578608513e-4,0.5210932644570486
hall,1.9014895738673424e-5,2.722949014292457e-5,0.5180399404794946
submitting,2.1225930126891263e-5,3.0254989047693966e-5,0.5113452879054865
led,1.5344578654231808e-4,2.1783592114339655e-4,0.5055128426033318
fixed,3.626096396677258e-5,5.143348138107974e-5,0.5042905303715358
based,2.4763585148039807e-5,3.479323740484806e-5,0.49058672773868905
corrected,1.945710261631699e-5,2.722949014292457e-5,0.4848730765442953
fine,5.7486894093663836e-5,8.017572097638901e-5,0.4799323352740249
fixture,1.476970971329517e-4,2.0573392552431896e-4,0.4781382425155673
evaluate,1.6361654472812016e-5,2.2691241785770472e-5,0.4718169237188487
assured,2.0783723249247697e-5,2.8742239595309267e-5,0.46771835550522833
remade,2.5205792025683374e-5,3.479323740484806e-5,0.4650516356315516
let,5.5718066583089564e-5,7.563747261923491e-5,0.4409559600140883
current,5.8371307848950976e-5,7.866297152400431e-5,0.4304252925219189
driver,3.4934343333841874e-5,4.6895233023925646e-5,0.42479525594905226
abandoned,5.7486894093663836e-5,7.715022207161962e-5,0.4244372226823215
establishment,4.864275654079248e-5,6.504822645254203e-5,0.4192847349167185
detailed,2.609020578097051e-5,3.479323740484806e-5,0.415298600434452
employee,1.5919447595168446e-5,2.1178492333385777e-5,0.41180961435457214
afternoon,3.979861898792112e-5,5.2946230833464435e-5,0.4118096143545717
j,2.7416826413901216e-5,3.630598685723276e-5,0.4051458840735611
installed,1.8395806109972428e-4,2.4052716292916702e-4,0.3868229308825434
confirm,3.272330894562403e-5,4.2356984666771553e-5,0.3722812501679347
center,1.6361654472812016e-5,2.1178492333385777e-5,0.3722812501679347
director,1.6361654472812016e-5,2.1178492333385777e-5,0.3722812501679347
transfer,1.768827510574272e-5,2.2691241785770472e-5,0.3593421944604364
globe,5.350703219487173e-5,6.807372535731142e-5,0.34736955279436016
cover,4.2894067131426096e-5,5.445898028584914e-5,0.3443918529944648
patch,1.46370476500021e-4,1.845554331909332e-4,0.33442962449494884
used,3.3607722700911165e-5,4.2356984666771553e-5,0.333807102353299
considered,4.1125239620851824e-5,5.143348138107974e-5,0.3226837238815882
part,5.085379092901032e-5,6.353547700015733e-5,0.32120706557366546
replaced,4.7183473844568705e-4,5.884595369776476e-4,0.3186615779010472
building,2.5028909274625946e-4,3.1162638719124783e-4,0.31622197809061625
locate,5.8371307848950976e-5,7.261197371446552e-5,0.3149480751019829
outage,5.8371307848950976e-5,7.261197371446552e-5,0.3149480751019829
store,2.9185653924475488e-5,3.630598685723276e-5,0.3149480751019829
lighting,4.0240825865564684e-5,4.9920731928695044e-5,0.31097917289903737
project,5.262261843958459e-5,6.504822645254203e-5,0.30582668513343464
per,4.961561167160833e-4,6.081252798586487e-4,0.29357442430941594
notified,1.8395806109972428e-4,2.2539966840532004e-4,0.29310849606034967
notify,4.2009653376138956e-5,5.143348138107974e-5,0.2919869266586719
sanitary,2.3436964515109103e-4,2.85909646500708e-4,0.2867735685097914
along,1.0789847814503058e-4,1.3160920235746876e-4,0.2865858520251225
operational,3.847199835499041e-5,4.6895233023925646e-5,0.28563250827742726
floor,1.989930949396056e-5,2.420399123815517e-5,0.28252659740960523
pedestrian,2.197768181888533e-4,2.662439036197069e-4,0.2767092708142912
police,1.6052109658461517e-4,1.9363192990524137e-4,0.27055395574352936
slcb,4.643172215257464e-5,5.597172973823383e-5,0.26958754170210714
checked,8.313489299699079e-5,9.984146385739009e-5,0.2641849614200961
outside,8.71147548957829e-5,1.0437971221454417e-4,0.26085233106107303
wire,4.687392903021821e-5,5.597172973823383e-5,0.25591260480503053
link,2.0341516371604127e-5,2.420399123815517e-5,0.25081773768226717
matter,5.350703219487173e-5,6.353547700015733e-5,0.24783387924344588
break,2.1668137004534833e-5,2.571674069053987e-5,0.24713269087441114
noted,0.025540100425181914,0.03021111931357481,0.24231543869257546
promptly,2.432137827039624e-5,2.8742239595309267e-5,0.2409474936582061
done,3.608408121571515e-4,4.250825961201002e-4,0.23638067198871057
open,9.551668557101069e-5,1.1194345947646767e-4,0.22894555720476137
warning,1.6803861350455583e-5,1.9665742881001078e-5,0.2268918984367869
bench,2.0783723249247697e-5,2.420399123815517e-5,0.21979084206164276
future,5.085379092901032e-5,5.899722864300323e-5,0.21429186165715322
high,2.7416826413901216e-5,3.1767738500078665e-5,0.21250080613116532
expired,4.2009653376138956e-5,4.840798247631034e-5,0.20452408540833247
repairs,1.2558675325077332e-4,1.4371119797654632e-4,0.19448818256554587
burner,4.510510151964394e-5,5.143348138107974e-5,0.18941719301812399
throughout,3.4492136456198305e-5,3.9331485762002156e-5,0.18941719301812399
foods,2.5205792025683374e-5,2.8742239595309267e-5,0.18941719301812399
addressing,2.255255075982197e-5,2.571674069053987e-5,0.18941719301812399
giving,1.989930949396056e-5,2.2691241785770472e-5,0.1894171930181237
apologize,2.2685212823115038e-4,2.571674069053987e-4,0.18095561426992782
necessary,3.758758459970328e-5,4.2356984666771553e-5,0.17234367965918262
p,8.357709987463435e-5,9.379046604785129e-5,0.16633357990508288
explained,4.731613590786177e-5,5.2946230833464435e-5,0.16219572428309967
connection,2.1668137004534833e-5,2.420399123815517e-5,0.15966984962407177
red,3.4049929578554735e-5,3.7818736309617454e-5,0.15144934281910347
working,6.978024529215503e-4,7.730149701685808e-4,0.14767768466344305
contractor,4.4132246388828083e-4,4.8256707531071875e-4,0.1288963021668891
vehicle,0.004559152908505186,0.0049784584477980415,0.1269332926081583
fuse,2.0783723249247697e-5,2.2691241785770472e-5,0.12668143767016113
crosswalk,5.5718066583089564e-5,6.050997809538793e-5,0.11902786512672621
give,5.5718066583089564e-5,6.050997809538793e-5,0.11902786512672621
hours,1.0745627126738702e-4,1.1648170783362177e-4,0.11635373082840059
either,1.6803861350455583e-5,1.815299342861638e-5,0.111414681016851
d,6.588882476889163e-5,7.109922426208082e-5,0.10980002495475602
cold,2.387917139275267e-5,2.571674069053987e-5,0.10695503282615113
commission,2.255255075982197e-5,2.420399123815517e-5,0.10195435176778454
pictures,8.180827236406008e-5,8.77394682383125e-5,0.10097922835054013
take,8.799916865107003e-5,9.379046604785129e-5,0.09195138358250642
blue,2.6974619536257646e-5,2.8742239595309267e-5,0.09156986961997936
engineer,2.432137827039624e-5,2.571674069053987e-5,0.08048282146495984
tied,6.014013535952525e-5,6.353547700015733e-5,0.07923427526770101
concern,7.163751417825801e-5,7.563747261923491e-5,0.07838588062938007
w,4.731613590786177e-5,4.9920731928695044e-5,0.07730682669658667
wall,2.1668137004534833e-5,2.2691241785770472e-5,0.06656044523259035
full,2.772637122825171e-4,2.8893514540547736e-4,0.05948688897298983
gas,5.5275859705446e-5,5.7484479190618535e-5,0.0565229225207785
lamp,4.2451860253782526e-5,4.386973411915625e-5,0.04739818814569628
short,2.3436964515109105e-5,2.420399123815517e-5,0.04645923917608093
site,3.506700539713494e-4,3.600343696675582e-4,0.03802040134324547
received,5.7486894093663836e-5,5.899722864300323e-5,0.03741409957307407
appears,2.21103438821784e-5,2.2691241785770472e-5,0.03741409957307407
fence,7.959723797584224e-5,8.16884704287737e-5,0.037414099573073754
missing,6.677323852417877e-5,6.807372535731142e-5,0.027828050743875763
color,9.507447869336712e-5,9.681596495262068e-5,0.02618684414981973
manager,1.326620632930704e-4,1.3463470126223815e-4,0.021294434209797052
wires,6.721544540182233e-5,6.807372535731142e-5,0.01830527662536935
health,5.394923907251529e-5,5.445898028584914e-5,0.013567357618706448
operation,1.2470233949548617e-4,1.2555820454792995e-4,0.00986777268741135
observed,8.755696177342646e-5,8.77394682383125e-5,0.0030040687872426694
everyone,1.813048198338629e-5,1.815299342861638e-5,0.0017901898423525078
pendant,3.183889519033689e-5,3.1767738500078665e-5,-0.0032278849242716656
isd,1.202802707190505e-4,1.1950720673839116e-4,-0.009302399333956398
use,6.588882476889163e-5,6.504822645254203e-5,-0.01852407202078331
repair,2.3436964515109103e-4,2.2993791676247414e-4,-0.027541342267695727
across,3.714537772205971e-5,3.630598685723276e-5,-0.03297522831832387
vendors,2.1668137004534833e-5,2.1178492333385777e-5,-0.03297522831832387
